"section_number","section_title","description","example_use_cases","punishment"
"15","British India","[Repealed]","[Repealed]","[Repealed]"
"16","Government of India","[Repealed]","[Repealed]","[Repealed]"
"17","Government","The word ""Government"" denotes the Central Government or the Government of a State.","An offence against the Government of Maharashtra is an offence against a State Government.","Not a penal section; it is a definition clause."
"18","India","""India"" means the territory of India excluding the State of Jammu and Kashmir.","An offence committed in the state of Tamil Nadu is committed within ""India"" as per the IPC.","Not a penal section; it is a definition clause."
"19","Judge","The word ""Judge"" denotes not only every person who is officially designated as a Judge but also every person who is empowered by law to give a definitive judgment in any legal proceeding.","A Magistrate presiding over a trial, a Sessions Judge, or even an arbitrator empowered by law to give a final judgment is a Judge.","Not a penal section; it is a definition clause."
"20","Court of Justice","The words ""Court of Justice"" denote a Judge who is empowered by law to act judicially alone, or a body of Judges which is empowered by law to act judicially as a body.","A Magistrate's court, a Sessions Court, the High Court, and the Supreme Court are Courts of Justice.","Not a penal section; it is a definition clause."
"21","Public servant","The words ""public servant"" denote a person who falls under any of the descriptions provided in the section, including government officers, judges, court officers, military personnel, jury members, arbitrators, and any person holding an office to perform a public duty.","A municipal corporator, a village sarpanch, a public university professor, and a government doctor are public servants.","Not a penal section; it is a definition clause."
"22","Movable property","The words ""movable property"" are intended to include corporeal property of every description, except land and things attached to the earth or permanently fastened to anything attached to the earth.","Cash, jewellery, vehicles, livestock, timber once cut from a tree, and standing crops if agreed to be severed before sale are movable property.","Not a penal section; it is a definition clause."
"23","Wrongful gain", """Wrongful loss"","""Wrongful gain"" is gain by unlawful means of property to which the person gaining is not legally entitled. ""Wrongful loss"" is the loss by unlawful means of property to which the person losing it is legally entitled.","A thief wrongfully gains stolen property; the owner wrongfully loses it.","Not a penal section; it is a definition clause."
"24","Dishonestly","Whoever does anything with the intention of causing wrongful gain to one person or wrongful loss to another person, is said to do that thing ""dishonestly"".","A person intentionally submits a fake insurance claim to receive a payout (wrongful gain) and cause a loss to the insurance company.","Not a penal section; it is a definition clause."
"25","Fraudulently","A person is said to do a thing fraudulently if he does that thing with intent to defraud but not otherwise.","Creating a fake document to deceive someone into parting with their property is acting fraudulently.","Not a penal section; it is a definition clause."
"26","Reason to believe","A person is said to have ""reason to believe"" a thing if he has sufficient cause to believe that thing but not otherwise.","If a person buys a brand-new smartphone for a fraction of its price from a stranger on the street, he has reason to believe it might be stolen.","Not a penal section; it is a definition clause."
"27","Property in possession of wife, clerk or servant","When property is in the possession of a person's wife, clerk, or servant, on account of that person, it is deemed to be in that person's possession.","Money embezzled by a company clerk is considered to be in the possession of the company owner for the purpose of establishing liability.","Not a penal section; it is a definition clause."
"28","Counterfeit","A person is said to ""counterfeit"" who causes one thing to resemble another thing, intending to practice deception or knowing it to be likely that deception will be practiced.","Printing fake currency notes that resemble real notes is counterfeiting.","Not a penal section; it is a definition clause."
"29","Document","The word ""document"" denotes any matter expressed or described upon any substance by means of letters, figures, or marks with the intention of being used as evidence.","A written contract, a printed receipt, an electronic record, a map, or even a lottery ticket are documents.","Not a penal section; it is a definition clause."
"29A","Electronic record","""Electronic record"" has the meaning assigned to it in the Information Technology Act, 2000.","An email, a digital database, a WhatsApp message, or a computer log file are electronic records.","Not a penal section; it is a definition clause."
"30","Valuable security","A document which is, or purports to be, a document whereby any legal right is created, extended, transferred, restricted, extinguished, or released, is a ""valuable security"".","A promissory note, a share certificate, a deed of sale for a house, or a will are valuable securities.","Not a penal section; it is a definition clause."
"31","A will","The words ""a will"" denote any testamentary document.","A legal document that specifies how a person's property should be distributed after their death.","Not a penal section; it is a definition clause."
"32","Words referring to acts include illegal omissions","In every part of this Code, except where a contrary intention appears from the context, words which refer to acts done extend also to illegal omissions.","The word ""act"" in assault includes the illegal omission of a bus driver to apply brakes, causing injury.","Not a penal section; it is an interpretative clause."
"33","Act", """Omission"","The word ""act"" denotes a single act as well as a series of acts; the word ""omission"" denotes a single omission as well as a series of omissions.","A person who repeatedly harasses another over several days is committing a series of acts. A guard who repeatedly fails to perform his duty is a series of omissions.","Not a penal section; it is a definition clause."
"34","Acts done by several persons in furtherance of common intention","When a criminal act is done by several persons in furtherance of the common intention of all, each of such persons is liable for that act in the same manner as if it were done by him alone.","Five people plan to beat a victim. Even if only one delivers the fatal blow, all five can be charged with murder under this section read with Section 302.","Liability for the specific offence committed, as if done individually."
"35","When such an act is criminal by reason of its being done with a criminal knowledge or intention","Whenever an act, which is criminal only by reason of its being done with a criminal knowledge or intention, is done by several persons, each person who joins in the act with such knowledge or intention is liable.","A group of people knowingly handle stolen goods; each one is liable for receiving stolen property because they all had the criminal intention.","Liability for the specific offence committed."
"36","Effect caused partly by act and partly by omission","Wherever the causing of a certain effect, or an attempt to cause that effect, by an act or by an omission, is an offence, it is to be understood that the causing of that effect partly by an act and partly by an omission is the same offence.","A nurse (act) gives a wrong medicine and then (omission) fails to monitor the patient, leading to death. She is liable for causing death.","Liability for the specific offence committed."
"37","Co-operation by doing one of several acts constituting an offence","When an offence is committed by means of several acts, whoever intentionally co-operates in the commission of that offence by doing any one of those acts is liable.","In a robbery, one person distracts the victim, another snatches the bag, and a third drives the getaway car. All co-operated and are liable for robbery.","Liability for the specific offence committed."
"38","Persons concerned in criminal act may be guilty of different offences","Where several persons are engaged or concerned in the commission of a criminal act, they may be guilty of different offences by means of that act.","A and B plan to beat C. A has a stick, B has a gun. B shoots and kills C. A may be guilty of voluntarily causing hurt, while B is guilty of murder.","Punishment as per the different offences they are found guilty of."
"39","Voluntarily","A person is said to cause an effect ""voluntarily"" when he causes it by means whereby he intended to cause it, or by means which he knew were likely to cause it.","A person throws a stone at a crowd, not intending to hit anyone but knowing it is likely. If someone is hit, he voluntarily caused hurt.","Not a penal section; it is a definition clause."
"40","Offence","Except in the Chapters and sections mentioned, the word ""offence"" denotes a thing made punishable by this Code.","Theft, defined in Section 378 and punishable under Section 379, is an offence.","Not a penal section; it is a definition clause."
"41","Special law","A ""special law"" is a law applicable to a particular subject.","The Arms Act, the Narcotic Drugs and Psychotropic Substances Act, and the Prevention of Corruption Act are special laws.","Not a penal section; it is a definition clause."
"42","Local law","A ""local law"" is a law applicable only to a particular part of India.","A state government act or a municipal bye-law is a local law.","Not a penal section; it is a definition clause."
"43","Illegal", """Legally bound to do"","The word ""illegal"" is applicable to everything which is an offence or which is prohibited by law, or which furnishes ground for a civil action. A person is said to be ""legally bound to do"" anything if he is subject to a legal penalty if he fails to do it.","Trespassing is illegal. A witness is legally bound to tell the truth in court.","Not a penal section; it is a definition clause."
"44","Injury","The word ""injury"" denotes any harm whatever illegally caused to any person, in body, mind, reputation, or property.","Physical assault causes injury to the body; defamation causes injury to reputation.","Not a penal section; it is a definition clause."
"45","Life","The word ""life"" denotes the life of a human being, unless the contrary appears from the context.","The offence of murder protects the ""life"" of a human being.","Not a penal section; it is a definition clause."
"46","Death","The word ""death"" denotes the death of a human being, unless the contrary appears from the context.","Causing the ""death"" of a human being is a key element in offences like culpable homicide.","Not a penal section; it is a definition clause."
"47","Animal","The word ""animal"" denotes any living creature, other than a human being.","A cow, a dog, a snake, or a bird is an animal.","Not a penal section; it is a definition clause."
"48","Vessel","The word ""vessel"" denotes anything made for the conveyance by water of human beings or property.","A ship, a boat, a yacht, or a ferry is a vessel.","Not a penal section; it is a definition clause."
"49","Year", """Month"","Wherever the word ""year"" or ""month"" is used, it is to be understood that the year or month is to be reckoned according to the British calendar.","A punishment of one year imprisonment means one year according to the Gregorian calendar.","Not a penal section; it is a definition clause."
"50","Section","The word ""section"" denotes one of those portions of a Chapter of this Code which are distinguished by prefixed numeral figures.","Referring to ""Section 379"" means the portion of the Code numbered 379.","Not a penal section; it is a definition clause."
"51","Oath","The word ""oath"" includes a solemn affirmation substituted by law for an oath, and any declaration required or authorized by law to be made before a public servant.","An atheist witness can make a solemn affirmation instead of swearing on a holy book.","Not a penal section; it is a definition clause."
"52","Good faith","Nothing is said to be done or believed in ""good faith"" which is done or believed without due care and attention.","A journalist publishing a defamatory statement without verifying the facts cannot claim it was done in good faith.","Not a penal section; it is a definition clause."
"52A","Harbour","Except in Section 157, and in Section 130 in the case in which the harbour is given by the wife or husband of the person harboured, the word ""harbour"" includes supplying a person with shelter, food, drink, money, clothes, arms, ammunition, or means of conveyance.","Providing a hiding place, food, or money to a known fugitive from justice constitutes harbouring.","Not a penal section; it is a definition clause."
"53","Punishments","The punishments to which offenders are liable under the provisions of this Code are: Death; Imprisonment for life; Imprisonment, which is of two descriptions—rigorous (with hard labour) and simple; Forfeiture of property; Fine.","A judge sentencing a convict for murder may choose between death and imprisonment for life.","Listing of permissible punishments under the IPC."
"54","Commutation of sentence of death","The appropriate Government may, without the consent of the offender, commute a sentence of death for any other punishment provided by this Code.","The President of India commutes a death sentence to life imprisonment.","Not a penal section; it deals with the power of commutation."
"55","Commutation of sentence of imprisonment for life","The appropriate Government may, without the consent of the offender, commute a sentence of imprisonment for life for imprisonment of either description for a term not exceeding fourteen years.","A state government commutes a life imprisonment term to rigorous imprisonment for ten years.","Not a penal section; it deals with the power of commutation."
"55A","Definition of “appropriate Government”","In Sections 54 and 55, the expression “appropriate Government” means the Central Government where the sentence is related to a matter to which the executive power of the Union extends, and the State Government in other cases.","A death sentence for a crime under a central law like the NDPS Act would be commuted by the Central Government.","Not a penal section; it is a definition clause."
"56","Sentence of Europeans and Americans to penal servitude","[Repealed by the Code of Criminal Procedure (Amendment) Act, 1949]","[Repealed]","[Repealed]"
"57","Fractions of terms of punishment","In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years.","This is used for calculating half of a life term for an attempt under Section 511.","Not a penal section; it is a calculation rule."
"58","Offenders sentenced to transportation how dealt with until transported","[Repealed by the Code of Criminal Procedure (Amendment) Act, 1955]","[Repealed]","[Repealed]"
"59","Transportation instead of imprisonment","[Repealed by the Code of Criminal Procedure (Amendment) Act, 1955]","[Repealed]","[Repealed]"
"60","Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple","A court sentencing an offender to imprisonment for a term of up to one year can order that the imprisonment be wholly rigorous, wholly simple, or that part of it be rigorous and the rest simple.","A magistrate sentences a person to six months imprisonment and orders that the first three months be rigorous and the remaining three be simple.","Specifies the court's discretion in ordering the type of imprisonment."
"61","Sentence of forfeiture of property","[Repealed by the Indian Penal Code (Amendment) Act, 1921]","[Repealed]","[Repealed]"
"62","Forfeiture of property in respect of offenders punishable with death","[Repealed by the Indian Penal Code (Amendment) Act, 1921]","[Repealed]","[Repealed]"
"63","Amount of fine","Where no sum is expressed to which a fine may extend, the amount of fine to which the offender is liable is unlimited, but shall not be excessive.","For an offence where the punishment is stated as 'imprisonment and fine', the fine amount is at the court's discretion but must be reasonable.","Fine to be determined by the court, must not be excessive."
"64","Sentence of imprisonment for non-payment of fine","When an offence is punishable with imprisonment and fine, the court may order that the offender shall undergo imprisonment for a certain term in default of payment of the fine. This imprisonment is in addition to the substantive imprisonment for the offence.","A person is sentenced to one year imprisonment and a fine of Rs. 5000. The court also orders that if the fine is not paid, the person will undergo an additional two months imprisonment.","Imprisonment in default of fine payment, which is in addition to the main sentence."
"65","Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable","The term of imprisonment in default of payment of a fine shall not exceed one-fourth of the maximum term of imprisonment fixed for the offence.","If the maximum imprisonment for an offence is four years, the imprisonment in default of fine cannot exceed one year.","Imprisonment in default capped at one-fourth of the maximum substantive imprisonment term."
"66","Description of imprisonment for non-payment of fine","The imprisonment in default of payment of a fine shall be simple.","A person unable to pay a fine will undergo simple imprisonment, not rigorous.","Simple imprisonment."
"67","Imprisonment for non-payment of fine, when offence punishable with fine only","If the offence is punishable with fine only, the imprisonment in default of payment of the fine shall be simple, and the term shall not exceed two months if the fine is not exceeding fifty rupees; four months if not exceeding one hundred rupees; and six months in any other case.","A person convicted of a minor offence with a fine of Rs. 2000 who fails to pay may be sentenced to simple imprisonment for up to six months.","Simple imprisonment for a term based on the amount of the fine."
"68","Imprisonment to terminate on payment of fine","The imprisonment in default of payment of a fine shall terminate whenever the fine is either paid or levied by process of law.","A person sentenced to one month in default of a fine is released immediately if the fine is paid at any time during that month.","Termination of imprisonment upon payment or recovery of the fine."
"69","Termination of imprisonment on payment of proportional part of fine","If a part of the fine is paid, the imprisonment shall be reduced proportionally. The term shall be reduced by a fraction of the term equal to the fraction of the fine that has been paid.","A fine of Rs. 1000 carries a default sentence of one month (30 days). If Rs. 500 is paid, the default imprisonment is reduced by half, to 15 days.","Proportional reduction of imprisonment term upon partial payment of fine."
"70","Fine leviable within six years, or during imprisonment—Death not to discharge property from liability","A fine can be levied at any time within six years after the passing of the sentence. The death of the offender does not discharge their property from liability to pay the fine.","A convict avoids payment for five years; the court can still initiate recovery proceedings against their property. The fine can also be recovered from the convict's estate after their death.","Fine can be recovered within six years and is a charge on the offender's property, even after death."
"71","Limit of punishment of offence made up of several offences","Where anything which is an offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished with the punishment of more than one of such offences, unless it is so expressly provided.","A person commits theft in a building (Section 380). This offence includes the basic offence of theft (Section 379). They cannot be punished separately for both 379 and 380.","Punishment for one offence only, usually the one with the more severe penalty."
"72","Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which","In a case where it is doubtful which of several offences the facts proved will constitute, the offender shall be punished for the offence for which the lowest punishment is provided.","A person is charged with theft and receiving stolen property. The evidence is unclear. The court convicts them for receiving stolen property if it carries a lower punishment.","Punishment for the offence with the least severe penalty."
"73","Solitary confinement","A court can order that solitary confinement be inflicted as part of the imprisonment in certain cases. The total period of solitary confinement shall not exceed three months in any case. It must not exceed fourteen days at a time, with intervals of at least fourteen days.","A convict sentenced to rigorous imprisonment for a grave crime like murder may be ordered to undergo periods of solitary confinement.","Solitary confinement, subject to strict limits on duration and frequency."
"74","Limit of solitary confinement","In executing a sentence of solitary confinement, such confinement shall in no case exceed fourteen days at a time, with intervals of not less than fourteen days between each period of solitary confinement.","A convict cannot be kept in solitary confinement for 30 days continuously; it must be broken up into periods of no more than 14 days each.","As per the limits described in Section 73."
"75","Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction","Whoever, having been convicted of an offence under Chapter XII (Offences against property) or Chapter XVII (Offences against property), is again convicted of any offence under either of those chapters, shall be subject to enhanced punishment.","A person previously convicted of theft is convicted of theft again. The court can impose a longer term of imprisonment for the second offence.","Imprisonment for either description for a term which may extend to double the maximum term provided for the offence."
"76","Act done by a person bound, or by mistake of fact believing himself bound, by law","Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by reason of a mistake of law believes himself to be, bound by law to do it.","A policeman, acting under a valid court warrant, arrests a person. This is not an offence of wrongful confinement.","Not an offence; this is a general exception providing immunity."
"77","Act of Judge when acting judicially","Nothing is an offence which is done by a Judge when acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to him by law.","A Judge orders the imprisonment of a convict. This is not an offence of wrongful confinement.","Not an offence; this is a general exception providing immunity."
"78","Act done pursuant to the judgment or order of Court","Nothing which is done in pursuance of, or which is warranted by the judgment or order of, a Court of Justice is an offence, provided the person doing the act in good faith believes the Court had jurisdiction.","A bailiff, acting on a court order, attaches the property of a judgment debtor. This is not theft.","Not an offence; this is a general exception providing immunity."
"79","Act done by a person justified, or by mistake of fact believing himself justified, by law","Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith believes himself to be justified by law, in doing it.","A person sees someone being attacked. Mistaking the attacker for the victim, he uses force against the actual victim. This is not an offence due to a mistake of fact.","Not an offence; this is a general exception providing immunity."
"80","Accident in doing a lawful act","Nothing is an offence which is done by accident or misfortune, and without any criminal intention or knowledge, in the doing of a lawful act in a lawful manner by lawful means and with proper care and caution.","A person chopping wood lawfully and with care accidentally lets the axe slip, killing a bystander. This is not an offence.","Not an offence; this is a general exception providing immunity."
"81","Act likely to cause harm, but done without criminal intent, and to prevent other harm","Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause harm, if it be done without any criminal intention to cause harm, and in good faith for the purpose of preventing or avoiding other harm to person or property.","To stop a fire from spreading, a person pulls down houses. This is not mischief, as it was done to prevent a greater harm.","Not an offence; this is a general exception providing immunity."
"82","Act of a child under seven years of age","Nothing is an offence which is done by a child under seven years of age.","A six-year-old child picks up and takes away a toy from a shop. This is not theft.","Not an offence; this is a general exception providing absolute immunity."
"83","Act of a child above seven and under twelve of immature understanding","Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity of understanding to judge the nature and consequences of his conduct on that occasion.","A nine-year-old child of underdeveloped intellect sets fire to a house, not understanding the consequences. This is not arson.","Not an offence; this is a general exception providing immunity if maturity is lacking."
"84","Act of a person of unsound mind","Nothing is an offence which is done by a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.","A person in a manic episode, believing they are destroying evil spirits, breaks valuable items. This may not be mischief.","Not an offence; this is a general exception providing immunity."
"85","Act of a person incapable of judgment by reason of intoxication caused against his will","Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication, incapable of knowing the nature of the act, provided that the thing which intoxicated him was administered to him without his knowledge or against his will.","A person is forcibly administered an intoxicating drug and, while in that state, commits assault. This is not an offence.","Not an offence; this is a general exception providing immunity."
"86","Offence requiring a particular intent or knowledge committed by one who is intoxicated","In cases where an act done is not an offence unless done with a particular knowledge or intent, a person who does the act in a state of intoxication shall be liable to be dealt with as if he had the same knowledge as he would have had if he had not been intoxicated, unless the intoxication was caused without his knowledge or against his will.","A person voluntarily gets drunk and, while intoxicated, commits an assault. His voluntary intoxication is not a defence, and he can be held liable as if he were sober.","Liable for the offence, as voluntary intoxication is not a defence for forming intent."
"87","Act not intended and not known to be likely to cause death or grievous hurt, done by consent","Nothing is an offence which is not intended to cause death or grievous hurt, and which is done by the consent of the person above eighteen years of age who understands the risk involved.","A person consents to a surgical operation by a doctor. The operation is not an assault. Participating in a rough game like rugby where hurt is likely is not an offence.","Not an offence; this is a general exception providing immunity."
"88","Act not intended to cause death, done by consent in good faith for person's benefit","Nothing which is not intended to cause death is an offence by reason of any harm which it may cause to the person consenting, if it is done in good faith for that person's benefit.","A surgeon, with consent, performs a risky but necessary operation that results in harm. This is not an offence.","Not an offence; this is a general exception providing immunity."
"89","Act done in good faith for benefit of child or insane person, by or by consent of guardian","Nothing which is done in good faith for the benefit of a person under twelve years of age or of unsound mind, by or by consent of the guardian, is an offence by reason of any harm it may cause.","A guardian of a minor consents to a necessary medical procedure for the child. A parent physically chastising a child for correction is not an offence.","Not an offence; this is a general exception providing immunity."
"90","Consent known to be given under fear or misconception","A consent is not a valid consent within the meaning of Sections 87, 88 and 89 if it is given by a person under fear of injury, or under a misconception of fact, or by an insane or intoxicated person, or by a child unless the contrary appears from the context.","A person consents to sexual intercourse under a threat of violence. This consent is invalid, making it rape. A patient consents to an operation believing it is for a different purpose.","Consent is vitiated and cannot be used as a defence."
"91","Exclusion of acts which are offences independently of harm caused","The exceptions in Sections 87, 88 and 89 do not extend to acts which are offences independently of any harm which they may cause.","Causing a miscarriage is an offence under Section 312, even if the woman consents. Consent is no defence.","The act remains an offence despite consent."
"92","Act done in good faith for benefit of a person without consent","Nothing is an offence by reason of any harm which it may cause to a person for whose benefit it is done in good faith, even without that person's consent, if circumstances exist that make it impossible to obtain consent and the doer believes the consent would have been given.","A doctor performs an emergency life-saving operation on an unconscious patient after an accident. This is not an offence.","Not an offence; this is a general exception providing immunity."
"93","Communication made in good faith","No communication made in good faith is an offence by reason of any harm to the person to whom it is made, if it is made for the benefit of that person.","A doctor truthfully tells a patient they have a serious illness. This is not defamation or causing emotional distress.","Not an offence; this is a general exception providing immunity."
"94","Act to which a person is compelled by threats","Except for murder and offences against the state punishable with death, nothing is an offence which is done by a person who is compelled to do it by threats, which, at the time of doing it, reasonably cause the apprehension that instant death to that person will otherwise be the consequence.","A person is threatened with instant death unless they assist in a robbery. Their participation in the robbery is not an offence.","Not an offence; this is a general exception providing immunity."
"95","Act causing slight harm","Nothing is an offence which causes, or intends to cause, harm, if that harm is so slight that no person of ordinary sense and temper would complain of it.","A person pushes another slightly in a crowded bus. This is not assault.","Not an offence; this is a general exception providing immunity."
"96","Things done in private defence","Nothing is an offence which is done in the exercise of the right of private defence.","A person has the right to defend their own body and property against an offence.","Not an offence; this is a general exception providing immunity."
"97","Right of private defence of the body and of property","Every person has a right, subject to the restrictions in Section 99, to defend their own body and the body of any other person against any offence affecting the human body. They also have the same right to defend their own property or the property of any other person against certain offences like theft, robbery, mischief, or criminal trespass.","A person can use force to prevent a thief from stealing their car. A person can defend a friend who is being attacked.","The right to use necessary force, extending even to causing death in certain grave situations."
"98","Right of private defence against the act of a person of unsound mind, etc.","When an act which would otherwise be a certain offence is not that offence due to youth, want of maturity of understanding, unsoundness of mind, intoxication, or misconception, the right of private defence against that act is the same as it would be if the act were that offence.","A person attacked by a child or a lunatic can still exercise the right of private defence to the same extent as if the attacker were a sane adult.","The right to private defence exists even against acts of exempted persons."
"99","Acts against which there is no right of private defence","The right of private defence does not extend to causing more harm than is necessary for defence. There is no right of private defence against an act which does not reasonably cause the apprehension of death or grievous hurt, if done by a public servant acting in good faith under colour of their office. There is no right against an act done under the direction of a public servant.","A person cannot shoot a pickpocket. A person cannot resist a lawful arrest by a police officer.","No right to defend exists in these scenarios."
"100","When the right of private defence of the body extends to causing death","The right of private defence of the body extends to voluntarily causing death if the offence which occasions the exercise of the right is of any of the following types: assault reasonably causing apprehension of death; assault reasonably causing apprehension of grievous hurt; assault with intention of committing rape; assault with intention of gratifying unnatural lust; assault with intention of kidnapping or abducting; assault with intention of wrongfully confining a person.","A woman can kill a man attempting to rape her. A person can kill an attacker who is trying to kidnap their child.","The right extends to causing the death of the assailant."
"101","When such right extends to causing any harm other than death","If the offence is not of any of the types enumerated in Section 100, the right of private defence of the body extends to causing any harm other than death.","Defending against an assault that only causes or threatens to cause simple hurt.","The right extends to causing any harm short of death."
"102","Commencement and continuance of the right of private defence of the body","The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence, and it continues as long as such apprehension of danger to the body continues.","The right starts not when the blow is struck, but when the threat is perceived. It ends when the attacker retreats or is disabled.","The right is available for the duration of the threat."
"103","When the right of private defence of property extends to causing death","The right of private defence of property extends to voluntarily causing death when the offence which occasions the exercise of the right is of any of the following descriptions: robbery; house-breaking by night; mischief by fire on any building, tent, or vessel used as a human dwelling; theft, mischief, or house-trespass which reasonably causes apprehension of death or grievous hurt.","A homeowner can kill a robber breaking into their house at night. A person can kill someone setting fire to their house.","The right extends to causing the death of the wrongdoer."
"104","When such right extends to causing any harm other than death","If the offence is not of any of the types enumerated in Section 103, the right of private defence of property extends to causing any harm other than death.","Defending property against simple theft or mischief during the day.","The right extends to causing any harm short of death."
"105","Commencement and continuance of the right of private defence of property","The right of private defence of property commences when a reasonable apprehension of danger to the property begins. It continues against theft as long as the offender continues in the commission of theft or until the property is recovered. It continues against robbery during the continuance of the robbery. It continues against criminal trespass or mischief as long as the offender continues in the commission of such trespass or mischief.","The right to defend property against a thief continues until the stolen property is recovered or the thief escapes.","The right is available for the duration of the criminal act against property."
"106","Right of private defence against deadly assault when there is risk of harm to innocent person","If in the exercise of the right of private defence against an assault which reasonably causes apprehension of death, the defender is so situated that they cannot effectually exercise that right without risk of harm to an innocent person, their right extends to the running of that risk.","A person attacked in a crowded market can return fire even if there is a risk of hitting a bystander, provided the private defence right exists.","The right extends to taking the risk of harming an innocent person."
"107","Abetment of a thing","A person abets the doing of a thing if they instigate any person to do that thing, engage with one or more other persons in a conspiracy for the doing of that thing, or intentionally aid the doing of that thing.","Persuading someone to commit a crime, conspiring to commit a crime, or providing tools to commit a crime.","Punishment for the offence abetted, as per Section 109 onwards."
"108","Abettor","An abettor is a person who abets an offence or who abets either the commission of an offence or the commission of an act which would be an offence if committed by a person capable of committing an offence.","A person who aids a minor in committing theft is an abettor, even though the minor may not be punishable.","Punishment for the offence abetted."
"108A","Abetment in India of offences outside India","A person abets an offence outside India which would be punishable in India if committed in India. They can be tried in India for abetment.","A person in Mumbai instigates someone in Nepal to commit murder in Nepal. They can be tried in India for abetting murder.","Punishment for the offence abetted."
"109","Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment","Whoever abets any offence shall, if the act abetted is committed in consequence of the abetment, be punished with the punishment provided for the offence.","A person instigates another to commit murder, and the murder is committed. The instigator is punished as a murderer.","Punishment for the offence committed."
"110","Punishment of abetment if person abetted does act with different intention from that of abettor","Whoever abets the commission of an offence shall be punished with the punishment provided for the offence, even if the person abetted acts with a different intention or knowledge from that of the abettor.","A abets B to burn Z's house. B, while doing so, also commits theft. A is guilty of abetting burning (mischief by fire), not theft.","Punishment for the offence which was abetted."
