section_number,section_title,description,example_use_cases,punishment
43,Definition and explanation - Section 43,"Legal definition and explanation as per Section 43 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 43 definitions.,No punishment specified - definitional provision.
44,Definition and explanation - Section 44,"Legal definition and explanation as per Section 44 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 44 definitions.,No punishment specified - definitional provision.
45,Definition and explanation - Section 45,"Legal definition and explanation as per Section 45 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 45 definitions.,No punishment specified - definitional provision.
46,Definition and explanation - Section 46,"Legal definition and explanation as per Section 46 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 46 definitions.,No punishment specified - definitional provision.
47,Definition and explanation - Section 47,"Legal definition and explanation as per Section 47 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 47 definitions.,No punishment specified - definitional provision.
48,Definition and explanation - Section 48,"Legal definition and explanation as per Section 48 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 48 definitions.,No punishment specified - definitional provision.
49,Definition and explanation - Section 49,"Legal definition and explanation as per Section 49 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 49 definitions.,No punishment specified - definitional provision.
50,Definition and explanation - Section 50,"Legal definition and explanation as per Section 50 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 50 definitions.,No punishment specified - definitional provision.
51,Definition and explanation - Section 51,"Legal definition and explanation as per Section 51 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 51 definitions.,No punishment specified - definitional provision.
52,Definition and explanation - Section 52,"Legal definition and explanation as per Section 52 of the Indian Penal Code, providing clarification on terms and concepts used throughout the Code.",Applied in legal interpretations and court proceedings involving Section 52 definitions.,No punishment specified - definitional provision.
53,Punishments - Section 53,Provision under Section 53 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
54,Punishments - Section 54,Provision under Section 54 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
55,Punishments - Section 55,Provision under Section 55 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
56,Punishments - Section 56,Provision under Section 56 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
57,Punishments - Section 57,Provision under Section 57 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
58,Punishments - Section 58,Provision under Section 58 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
59,Punishments - Section 59,Provision under Section 59 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
60,Punishments - Section 60,Provision under Section 60 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
61,Punishments - Section 61,Provision under Section 61 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
62,Punishments - Section 62,Provision under Section 62 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
63,Punishments - Section 63,Provision under Section 63 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
64,Punishments - Section 64,Provision under Section 64 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
65,Punishments - Section 65,Provision under Section 65 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
66,Punishments - Section 66,Provision under Section 66 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
67,Punishments - Section 67,Provision under Section 67 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
68,Punishments - Section 68,Provision under Section 68 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
69,Punishments - Section 69,Provision under Section 69 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
70,Punishments - Section 70,Provision under Section 70 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
71,Punishments - Section 71,Provision under Section 71 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
72,Punishments - Section 72,Provision under Section 72 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
73,Punishments - Section 73,Provision under Section 73 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
74,Punishments - Section 74,Provision under Section 74 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
75,Punishments - Section 75,Provision under Section 75 of the Indian Penal Code dealing with types and modes of punishment. This section deals with various forms of punishment prescribed under the Code.,"Death penalty, imprisonment, fines, and other forms of criminal punishment.",Varies based on the specific offence.
76,General Exception - Section 76,"General exception as provided under Section 76 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 76 exceptions.,No punishment - provides legal exception or justification.
77,General Exception - Section 77,"General exception as provided under Section 77 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 77 exceptions.,No punishment - provides legal exception or justification.
78,General Exception - Section 78,"General exception as provided under Section 78 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 78 exceptions.,No punishment - provides legal exception or justification.
79,General Exception - Section 79,"General exception as provided under Section 79 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 79 exceptions.,No punishment - provides legal exception or justification.
80,General Exception - Section 80,"General exception as provided under Section 80 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 80 exceptions.,No punishment - provides legal exception or justification.
81,General Exception - Section 81,"General exception as provided under Section 81 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 81 exceptions.,No punishment - provides legal exception or justification.
82,General Exception - Section 82,"General exception as provided under Section 82 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 82 exceptions.,No punishment - provides legal exception or justification.
83,General Exception - Section 83,"General exception as provided under Section 83 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 83 exceptions.,No punishment - provides legal exception or justification.
84,General Exception - Section 84,"General exception as provided under Section 84 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 84 exceptions.,No punishment - provides legal exception or justification.
85,General Exception - Section 85,"General exception as provided under Section 85 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 85 exceptions.,No punishment - provides legal exception or justification.
86,General Exception - Section 86,"General exception as provided under Section 86 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 86 exceptions.,No punishment - provides legal exception or justification.
87,General Exception - Section 87,"General exception as provided under Section 87 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 87 exceptions.,No punishment - provides legal exception or justification.
88,General Exception - Section 88,"General exception as provided under Section 88 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 88 exceptions.,No punishment - provides legal exception or justification.
89,General Exception - Section 89,"General exception as provided under Section 89 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 89 exceptions.,No punishment - provides legal exception or justification.
90,General Exception - Section 90,"General exception as provided under Section 90 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 90 exceptions.,No punishment - provides legal exception or justification.
91,General Exception - Section 91,"General exception as provided under Section 91 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 91 exceptions.,No punishment - provides legal exception or justification.
92,General Exception - Section 92,"General exception as provided under Section 92 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 92 exceptions.,No punishment - provides legal exception or justification.
93,General Exception - Section 93,"General exception as provided under Section 93 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 93 exceptions.,No punishment - provides legal exception or justification.
94,General Exception - Section 94,"General exception as provided under Section 94 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 94 exceptions.,No punishment - provides legal exception or justification.
95,General Exception - Section 95,"General exception as provided under Section 95 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 95 exceptions.,No punishment - provides legal exception or justification.
96,General Exception - Section 96,"General exception as provided under Section 96 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 96 exceptions.,No punishment - provides legal exception or justification.
97,General Exception - Section 97,"General exception as provided under Section 97 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 97 exceptions.,No punishment - provides legal exception or justification.
98,General Exception - Section 98,"General exception as provided under Section 98 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 98 exceptions.,No punishment - provides legal exception or justification.
99,General Exception - Section 99,"General exception as provided under Section 99 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 99 exceptions.,No punishment - provides legal exception or justification.
100,General Exception - Section 100,"General exception as provided under Section 100 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 100 exceptions.,No punishment - provides legal exception or justification.
101,General Exception - Section 101,"General exception as provided under Section 101 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 101 exceptions.,No punishment - provides legal exception or justification.
102,General Exception - Section 102,"General exception as provided under Section 102 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 102 exceptions.,No punishment - provides legal exception or justification.
103,General Exception - Section 103,"General exception as provided under Section 103 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 103 exceptions.,No punishment - provides legal exception or justification.
104,General Exception - Section 104,"General exception as provided under Section 104 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 104 exceptions.,No punishment - provides legal exception or justification.
105,General Exception - Section 105,"General exception as provided under Section 105 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 105 exceptions.,No punishment - provides legal exception or justification.
106,General Exception - Section 106,"General exception as provided under Section 106 of the Indian Penal Code, which provides legal justification or excuse for acts that would otherwise be criminal.",Applied when determining criminal liability under circumstances covered by Section 106 exceptions.,No punishment - provides legal exception or justification.
107,Abetment - Section 107,"Provision under Section 107 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
108,Abetment - Section 108,"Provision under Section 108 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
109,Abetment - Section 109,"Provision under Section 109 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
110,Abetment - Section 110,"Provision under Section 110 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
111,Abetment - Section 111,"Provision under Section 111 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
112,Abetment - Section 112,"Provision under Section 112 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
113,Abetment - Section 113,"Provision under Section 113 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
114,Abetment - Section 114,"Provision under Section 114 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
115,Abetment - Section 115,"Provision under Section 115 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
116,Abetment - Section 116,"Provision under Section 116 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
117,Abetment - Section 117,"Provision under Section 117 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
118,Abetment - Section 118,"Provision under Section 118 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
119,Abetment - Section 119,"Provision under Section 119 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
120,Definition of criminal conspiracy,"When two or more persons agree to do, or cause to be done, an illegal act, or an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy.","Planning a robbery, agreeing to commit fraud, conspiracy to commit murder.",Same punishment as for the substantive offence or up to 6 months imprisonment.
121,Punishment of criminal conspiracy,"Whoever is a party to a criminal conspiracy to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, shall be punished in the same manner as if he had abetted such offence.","Conspiracy to murder, conspiracy to commit terrorism, conspiracy to wage war against the state.",Same as abetment of the intended crime.
122,Abetment - Section 122,"Provision under Section 122 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
123,Abetment - Section 123,"Provision under Section 123 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
124,Abetment - Section 124,"Provision under Section 124 of the Indian Penal Code dealing with instigation, conspiracy, and aid in committing crimes. This section deals with liability for abetting or assisting in criminal acts.","Conspiracy to commit crimes, instigating others to commit offences, providing aid to criminals.",Same as the principal offence or specific punishment for abetment.
